feature,kind,cardinality,description,fulldisplayname
fmri_mot_pctcompl,book_keeping,reg,Percentage of Motor task fMRI complete,3T Task fMRI - Motor Percent Complete
fmri_movie_compl,book_keeping,bin,Full Movie task fMRI protocol completed (True or False),Full 7T Task fMRI Movie Protocol Completed
fmri_movie_pctcompl,book_keeping,reg,Percentage of Movie (All scans) task fMRI complete,7T Task fMRI - Movie (All scans) Percent Complete
fmri_rel_pctcompl,book_keeping,reg,Percentage of Relational processing task fMRI complete,3T Task fMRI - Relational Processing Percent Complete
fmri_ret_compl,book_keeping,bin,Full Retinotopy task fMRI protocol completed (True or False),Full 7T Task fMRI Retinotopy Protocol Completed
fmri_ret_pctcompl,book_keeping,reg,Percentage of Retinotopy (All scans) task fMRI complete,7T Task fMRI - Retinotopy (All scans) Percent Complete
fmri_soc_pctcompl,book_keeping,reg,Percentage of Social cognition task fMRI complete,3T Task fMRI - Social Cognition Percent Complete
fmri_wm_pctcompl,book_keeping,reg,Percentage of Working memory task fMRI complete,3T Task fMRI - Working Memory Percent Complete
friendship_unadj,social,reg,"This self-report measure assesses perceptions of friendship, using an 8-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of a greater perceived availability of companions with whom to interact or affiliate. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of friendship and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of friendship. ",NIH Toolbox Friendship Survey: Unadjusted Scale Score
gaitspeed_comp,physio,reg,"Participants are asked to walk a short distance (4 meters) at their usual pace. Raw scores are recorded as the time in seconds required to walk 4 meters on each of the two trials, with the better trial used for scoring (raw scores are available on request to info@humanconnectome.org). Computed scores are in meters per second. On the 4-Meter Walk Gait Speed Test, higher computed scores are indicative of better gait speed (i.e., fewer seconds to walk four meters). ",NIH Toolbox 4-Meter Walk Gait Speed Test: Computed Score
gambling_task_median_rt_larger,timing,reg,Average of Median Reaction Times from Trials that received a 'larger' prediction in GAMBLING task,Gambling Task Overall Reaction Time 'Larger'
gambling_task_median_rt_smaller,timing,reg,Average of Median Reaction Times from Trials that received a 'smaller' prediction in GAMBLING task,Gambling Task Overall Reaction Time 'Smaller'
gambling_task_perc_larger,psych,reg,Overall Percentage of Trials that received a 'larger' prediction in GAMBLING task,Gambling Task Overall Percentage 'Larger'
gambling_task_perc_nlr,psych,reg,Overall Percentage of Trials with no response logged in GAMBLING task,Gambling Task Overall Percentage No Logged Response
gambling_task_perc_smaller,psych,reg,Overall Percentage of Trials that received a 'smaller' prediction in GAMBLING task,Gambling Task Overall Percentage 'Smaller'
gambling_task_punish_median_rt_larger,timing,reg,Median Reaction Time for Punish Trials that received a 'larger' prediction in GAMBLING task,Gambling Task Median Reaction Time 'Larger' in Punish
gambling_task_punish_median_rt_smaller,timing,reg,Median Reaction Time for Punish Trials that received a 'smaller' prediction in GAMBLING task,Gambling Task Median Reaction Time 'Smaller' in Punish
gambling_task_punish_perc_larger,psych,reg,Percentage of Punish Trials that received a 'larger' prediction in GAMBLING task,Gambling Task Percentage 'Larger' in Punish
gambling_task_punish_perc_nlr,psych,reg,Percentage of Punish Trials with no response logged in GAMBLING task,Gambling Task Percentage No Logged Response in Punish
gambling_task_punish_perc_smaller,psych,reg,Percentage of Punish Trials that received a 'smaller' prediction in GAMBLING task,Gambling Task Percentage 'Smaller' in Punish
gambling_task_reward_median_rt_larger,timing,reg,Median Reaction Time for Reward Trials that received a 'larger' prediction in GAMBLING task,Gambling Task Median Reaction Time 'Larger' in Reward
gambling_task_reward_median_rt_smaller,timing,reg,Median Reaction Time for Reward Trials that received a 'smaller' prediction in GAMBLING task,Gambling Task Median Reaction Time 'Smaller' in Reward
gambling_task_reward_perc_larger,psych,reg,Percentage of Reward Trials that received a 'larger' prediction in GAMBLING task,Gambling Task Percentage 'Larger' in Reward
gambling_task_reward_perc_nlr,psych,reg,Percentage of Reward Trials with no response logged in GAMBLING task,Gambling Task Percentage No Logged response in Reward
gambling_task_reward_perc_smaller,psych,reg,Percentage of Reward Trials that received a 'smaller' prediction in GAMBLING task,Gambling Task Percentage 'Smaller' in Reward
instrusupp_unadj,social,reg,"This self-report measure assesses instrumental support (refers to the perception that people in one’s social network are available to provide material or functional aid in completing daily tasks, if needed) for ages 18-85, using an 8-item fixed-length form. The Unadjusted Scale Score has a Mean of 50, SD of 10. higher scores are indicative of more reported support. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of instrumental supportand scores 1 SD or more above the mean (T ≥ 60) suggest high levels of instrumental support.",NIH Toolbox Instrumental Support Survey: Unadjusted Scale Score
iwrd_compl,book_keeping,bin,Penn Word Memory Test (IWRD) (Verbal Episodic Memory) was completed (True or False),Penn Word Memory Test (IWRD) Completed
iwrd_rtc,timing,reg,Penn Word Memory:  Median Reaction Time for Correct Responses,Penn Word Memory Test: Median Reaction Time for Correct Responses (IWRD_RTC)
iwrd_tot,cognition,reg,Penn Word Memory:  Total Number of Correct Responses,Penn Word Memory Test: Total Number of Correct Responses (IWRD_TOT)
language_task_acc,cognition,reg,Average of accuracy from each condition in the LANGUAGE task,Language Task OVERALL accuracy
language_task_math_acc,cognition,reg,Accuracy Percentage during MATH condition in LANGUAGE task,Language Task MATH accuracy
language_task_math_avg_difficulty_level,cognition,reg,Average difficulty level of stimuli presented during MATH condition in LANGUAGE task,Language Task MATH difficulty level
language_task_math_median_rt,timing,reg,Median Reaction Time for correct trials during MATH condition in LANGUAGE task,Language Task MATH median Reaction Time
language_task_median_rt,timing,reg,Average of median correct Reaction Time from each condition in LANGUAGE task,Language Task OVERALL median Reaction Time
language_task_story_acc,cognition,reg,Accuracy Percentage during STORY condition in LANGUAGE task,Language Task STORY accuracy
language_task_story_avg_difficulty_level,cognition,reg,Average difficulty level of stimuli presented during STORY condition in LANGUAGE task,Language Task STORY difficulty level
language_task_story_median_rt,timing,reg,Median Reaction Time for correct trials during STORY condition in LANGUAGE task,Language Task STORY median Reaction Time
lifesatisf_unadj,psych,reg,"This self-report measure assesses global feelings and attitudes about one's life using a CAT format. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more general life satisfaction. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of general life satisfaction and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of general life satisfaction.",NIH Toolbox General Life Satisfaction Survey: Unadjusted Scale Score
listsort_ageadj,cognition,reg,"This task assesses working memory and requires the participant to sequence different visually- and orally-presented stimuli (foods and animals) into size order. List Sorting is a measure of working memory, tapping both information processing and storage. It is considered a “fluid ability” measure, with performance tending to peak in early adulthood and then declining across the life span. Higher scores on each of these indicate higher levels of working memory. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band.",NIH Toolbox List Sorting Working Memory Test: Age-Adjusted Scale Score
listsort_unadj,cognition,reg,"This task assesses working memory and requires the participant to sequence different visually- and orally-presented stimuli (foods and animals) into size order. List Sorting is a measure of working memory, tapping both information processing and storage. It is considered a “fluid ability” measure, with performance tending to peak in early adulthood and then declining across the life span. Higher scores on each of these indicate higher levels of working memory. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average.",NIH Toolbox List Sorting Working Memory Test: Unadjusted Scale Score
loneliness_unadj,social,reg,"This self-report measure assesses perceptions of loneliness using a 5-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more loneliness. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of loneliness and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of loneliness.",NIH Toolbox Loneliness Survey: Unadjusted Scale Score
mars_errs,physio,reg,"Number of non-consecutive Errors on Mars Contrast Sensitivity Test made before the final correctly read letter on the contrast test card. Participant reads letters from the Mars contrast test card left to right for each line, from top to bottom of the chart. The test continues until two consecutive errors have been made.",Errors on Mars
mars_final,physio,reg,"Final Contrast Sensitivity (CS) Score. Participant reads letters from the Mars contrast test card left to right for each line, from top to bottom of the chart. The test continues until two consecutive errors have been made. The CS score is the value of the final correct letter, minus 0.04 for each incorrect letter prior to the two final consecutive errors. ",Mars Final Contrast Sensitivity Score
mars_log_score,physio,reg,"Contrast Sensitivity Score for the final correctly read letter on the contrast test card (before two consecutive errors that end the test). Participant reads letters from the Mars contrast test card left to right for each line, from top to bottom of the chart. The test continues until two consecutive errors have been made.",Mars Contrast Sensitivity Score
meanpurp_unadj,psych,reg,"This self-report measure for adults (ages 18 and above) is a CAT that accesses the extent to which people feel their life matters or makes sense. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores indicate more self-reported meaning and purpose. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of meaning and purpose and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of meaning and purpose.",NIH Toolbox Meaning and Purpose Survey: Unadjusted Scale Score
meg_anatomy_avail,book_keeping,bin,MEG anatomy data is available (True or False),Anatomy Data Available
meg_anatomy_compl,book_keeping,bin,MEG anatomy data is available (True or False),Anatomy Data Complete
meg_anydata,book_keeping,bin,Any MEG data available for subject? (True or False),Any MEG Data Available
meg_cortribn_avail,book_keeping,bin,MEG cortical ribbon is available (True or False),Cortical Ribbon Available
meg_fullprot_compl,book_keeping,bin,Full MEG protocol is complete (True or False),Full Protocol Complete
meg_headmodel_avail,book_keeping,bin,MEG Head Model Available (True or False),Head Model Available
meg_motor_avail,book_keeping,bin,MEG motor data is available (True or False),Motor Data Available
meg_motor_compl,book_keeping,bin,MEG motor data is complete (True or False),Motor Data Complete
meg_noise_avail,book_keeping,bin,MEG noise data is available (True or False),Noise Data Available
meg_noise_compl,book_keeping,bin,MEG noise data is complete (True or False),Noise Data Complete
meg_rs_avail,book_keeping,bin,MEG resting state data is available (True or False),Resting State Data Available
meg_rs_compl,book_keeping,bin,MEG resting state data is complete (True or False),Resting State Data Complete
meg_storymath_avail,book_keeping,bin,MEG story math data is available (True or False),Story Math Data Available
meg_storymath_compl,book_keeping,bin,MEG story math data is complete (True or False),Story Math Data Complete
meg_wm_avail,book_keeping,bin,MEG working memory data is available (True or False),Working Memory Data Available
meg_wm_compl,book_keeping,bin,MEG working memory data is complete (True or False),Working Memory Data Complete
megsession_label,book_keeping,id,Subject specific label for the MEG session. These labels link to a subject specific session page with details on the scans collected.,MEG Session Label
megsession_scanner,book_keeping,id,Scanner used for a particular MEG session,MEG Session Scanner
megsession_scans,book_keeping,ord,MEG scans acquired for a subject. Numbers in parentheses indicate the scan count for each type of scan.,MEG Session Scans
mmse_compl,book_keeping,bin,Mini Mental State Examination (MMSE) was completed (True or False),Mini Mental State Examination (MMSE) Completed
mmse_score,psych,reg,"Mini Mental Status Exam (MMSE) Total Score. This is a broad measure of cognitive status (Folstein et al., 1975).",Mini Mental Status Exam Total Score
mrsession_label_3t,book_keeping,id,Subject specific label for the MRI session. These labels link to a subject specific session page with details on the scans collected.,3T MR Session Label
mrsession_label_7t,book_keeping,id,Subject specific label for the MRI session. These labels link to a subject specific session page with details on the scans collected.,7T MR Session Label
mrsession_scanner_3t,book_keeping,id,Scanner used for a particular 3T MR session,3T MR Session Scanner
mrsession_scanner_7t,book_keeping,id,Scanner used for a particular MR session,7T MR Session Scanner
mrsession_scans_3t,book_keeping,ord,Scans acquired for a subject. Numbers in parentheses indicate the scan count for each type of scan.,3T MR Session Scans
mrsession_scans_7t,book_keeping,ord,Scans acquired for a subject. Numbers in parentheses indicate the scan count for each type of scan.,7T MR Session Scans
neo-ffi_compl,book_keeping,bin,Five Factor Model (NEO-FFI) was completed (True or False),Five Factor Model (NEO-FFI) Completed
neofac_a,psych,reg,"Agreeableness Scale Score NEO-FFI (McCrae and Costa 2004). Note: NEOFAC_A scores in ConnectomeDB before April 3, 2018, were incorrect due to a bug in scoring NEO Item #59. The maximum effect of the bug was +/- 4pts, depending on participant's answer on NEO Item #59.",NEO-FFI Agreeableness (NEOFAC_A)
neofac_c,psych,reg,Conscientiousness Scale Score NEO-FFI (McCrae and Costa 2004),NEO-FFI Conscientiousness (NEOFAC_C)
neofac_e,psych,reg,Extraversion Scale Score NEO-FFI (McCrae and Costa 2004),NEO-FFI Extraversion (NEOFAC_E)
neofac_n,psych,reg,Neuroticism Scale Score NEO-FFI (McCrae and Costa 2004),NEO-FFI Neuroticism (NEOFAC_N)
neofac_o,psych,reg,Openness Scale Score NEO-FFI (McCrae and Costa 2004),NEO-FFI Openness to Experience (NEOFAC_O)
neoraw_01,sub_scale,reg,"1. I am not a worrier.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",1. I am not a worrier.
neoraw_02,sub_scale,reg,"2. I like to have a lot of people around me.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",2. I like to have a lot of people around me.
neoraw_03,sub_scale,reg,"3. I don't like to waste my time daydreaming.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",3. I don't like to waste my time daydreaming.
neoraw_04,sub_scale,reg,"4. I try to be courteous to everyone I meet.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",4. I try to be courteous to everyone I meet.
neoraw_05,sub_scale,reg,"5. I keep my belongings clean and neat.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",5. I keep my belongings clean and neat.
neoraw_06,sub_scale,reg,"6. I often feel inferior to others.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",6. I often feel inferior to others.
neoraw_07,sub_scale,reg,"7. I laugh easily.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",7. I laugh easily.
neoraw_08,sub_scale,reg,"8. Once I find the right way to do something, I stick to it.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree","8. Once I find the right way to do something, I stick to it."
neoraw_09,sub_scale,reg,"9. I often get into arguments with my family and co-workers SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",9. I often get into arguments with my family and co-workers
neoraw_10,sub_scale,reg,"10. I'm pretty good about pacing myself so as to get things done on time.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",10. I'm pretty good about pacing myself so as to get things done on time.
neoraw_11,sub_scale,reg,"11. When I'm under a great deal of stress, sometimes I feel like I'm going to pieces.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree","11. When I'm under a great deal of stress, sometimes I feel like I'm going to pieces."
neoraw_12,sub_scale,reg,"12. I don't consider myself especially \""lighthearted.\"" SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree","12. I don't consider myself especially \""lighthearted.\"""""
neoraw_13,sub_scale,reg,"13. I am intrigued by the patterns I find in art and nature.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",13. I am intrigued by the patterns I find in art and nature.
neoraw_14,sub_scale,reg,"14. Some people think I'm selfish and egotistical.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",14. Some people think I'm selfish and egotistical.
neoraw_15,sub_scale,reg,"15. I am not a very methodical person.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",15. I am not a very methodical person.
neoraw_16,sub_scale,reg,"16. I rarely feel lonely or blue.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",16. I rarely feel lonely or blue.
neoraw_17,sub_scale,reg,"17. I really enjoy talking to people.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",17. I really enjoy talking to people.
neoraw_18,sub_scale,reg,"18. I believe letting students hear controversial speakers can only confuse and mislead them.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",18. I believe letting students hear controversial speakers can only confuse and mislead them.
neoraw_19,sub_scale,reg,"19. I would rather cooperate with others than compete with them.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",19. I would rather cooperate with others than compete with them.
neoraw_20,sub_scale,reg,"20. I try to perform all the tasks assigned to me conscientiously.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",20. I try to perform all the tasks assigned to me conscientiously.
neoraw_21,sub_scale,reg,"21. I often feel tense and jittery.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",21. I often feel tense and jittery.
neoraw_22,sub_scale,reg,"22. I like to be where the action is.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",22. I like to be where the action is.
neoraw_23,sub_scale,reg,"23. Poetry has little or no effect on me.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",23. Poetry has little or no effect on me.
neoraw_24,sub_scale,reg,"24. I tend to be cynical and skeptical of other's intentions.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",24. I tend to be cynical and skeptical of other's intentions.
neoraw_25,sub_scale,reg,"25. I have a clear set of goals and work toward them in an orderly fashion.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",25. I have a clear set of goals and work toward them in an orderly fashion.
neoraw_26,sub_scale,reg,"26. Sometimes I feel completely worthless.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",26. Sometimes I feel completely worthless.
neoraw_27,sub_scale,reg,"27. I usually prefer to do things alone.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",27. I usually prefer to do things alone.
neoraw_28,sub_scale,reg,"28. I often try new and foreign foods.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",28. I often try new and foreign foods.
neoraw_29,sub_scale,reg,"29. I believe that most people will take advantage of you if you let them.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",29. I believe that most people will take advantage of you if you let them.
neoraw_30,sub_scale,reg,"30. I waste a lot of time before settling down to work.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",30. I waste a lot of time before settling down to work.
neoraw_31,sub_scale,reg,"31. I rarely feel fearful or anxious.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",31. I rarely feel fearful or anxious.
neoraw_32,sub_scale,reg,"32. I often feel as if I am bursting with energy.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",32. I often feel as if I am bursting with energy.
neoraw_33,sub_scale,reg,"33. I seldom notice the moods or feelings that different environments produce.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",33. I seldom notice the moods or feelings that different environments produce.
neoraw_34,sub_scale,reg,"34. Most people I know like me.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",34. Most people I know like me.
neoraw_35,sub_scale,reg,"35. I work hard to accomplish my goals.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",35. I work hard to accomplish my goals.
neoraw_36,sub_scale,reg,"36. I often get angry at the way people treat me.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",36. I often get angry at the way people treat me.
neoraw_37,sub_scale,reg,"37. I am a cheerful, high-spirited person.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree","37. I am a cheerful, high-spirited person."
neoraw_38,sub_scale,reg,"38. I believe we should look to our religious authorities for decisions on moral issues.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",38. I believe we should look to our religious authorities for decisions on moral issues.
neoraw_39,sub_scale,reg,"39. Some people think of me as cold and calculating.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",39. Some people think of me as cold and calculating.
neoraw_40,sub_scale,reg,"40. When I make a commitment, I can always be counted on to follow through.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree","40. When I make a commitment, I can always be counted on to follow through."
neoraw_41,sub_scale,reg,"41. Too often, when things go wrong, I get discouraged and feel like giving up.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree","41. Too often, when things go wrong, I get discouraged and feel like giving up."
neoraw_42,sub_scale,reg,"42. I am not a cheerful optimist.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",42. I am not a cheerful optimist.
neoraw_43,sub_scale,reg,"43. Sometimes when I am reading poetry or looking at a work of art, I feel a chill or wave of excitement.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree","43. Sometimes when I am reading poetry or looking at a work of art, I feel a chill or wave of excitement."
neoraw_44,sub_scale,reg,"44. I'm hard-headed and tough-minded in my attitudes.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",44. I'm hard-headed and tough-minded in my attitudes.
neoraw_45,sub_scale,reg,"45. Sometimes I'm not as dependable or reliable as I should be.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",45. Sometimes I'm not as dependable or reliable as I should be.
neoraw_46,sub_scale,reg,"46. I am seldom sad or depressed.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",46. I am seldom sad or depressed.
neoraw_47,sub_scale,reg,"47. My life is fast-paced.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",47. My life is fast-paced.
neoraw_48,sub_scale,reg,"48. I have little interest in speculating on the nature of the universe or the human condition.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",48. I have little interest in speculating on the nature of the universe or the human condition.
neoraw_49,sub_scale,reg,"49. I generally try to be thoughtful and considerate.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",49. I generally try to be thoughtful and considerate.
neoraw_50,sub_scale,reg,"50. I am a productive person who always gets the job done.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",50. I am a productive person who always gets the job done.
neoraw_51,sub_scale,reg,"51. I often feel helpless and want someone else to solve my problems.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",51. I often feel helpless and want someone else to solve my problems.
neoraw_52,sub_scale,reg,"52. I am a very active person.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",52. I am a very active person.
neoraw_53,sub_scale,reg,"53. I have a lot of intellectual curiosity.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",53. I have a lot of intellectual curiosity.
neoraw_54,sub_scale,reg,"54. If I don't like people, I let them know it.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree","54. If I don't like people, I let them know it."
neoraw_55,sub_scale,reg,"55. I never seem to be able to get organized.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",55. I never seem to be able to get organized.
neoraw_56,sub_scale,reg,"56. At times I have been so ashamed I just wanted to hide.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",56. At times I have been so ashamed I just wanted to hide.
neoraw_57,sub_scale,reg,"57. I would rather go my own way than be a leader of others.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",57. I would rather go my own way than be a leader of others.
neoraw_58,sub_scale,reg,"58. I often enjoy playing with theories or abstract ideas.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",58. I often enjoy playing with theories or abstract ideas.
neoraw_59,sub_scale,reg,"59. If necessary, I am willing to manipulate people.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree","59. If necessary, I am willing to manipulate people."
neoraw_60,sub_scale,reg,"60. I strive for excellence in everything I do.  SA=Strongly Agree, A=Agree, N=Neither Agree or Disagree, D=Disagree, SD=Strongly Disagree",60. I strive for excellence in everything I do.
noise_comp,book_keeping,bin,"This test measures a person’s ability to recognize single words presented amid varying levels of background noise. It measures how much difficulty a person might have hearing in a noisy environment. A percent correct is calculated, which is then translated into a threshold score for each ear, in decibels of signal-to-noise ratio (dB S/N), using a look-up table. The range of possible scores for each ear is -2.0 to 26.0 dB S/N, with lower scores indicative of better performance and, conversely, higher scores potentially suggestive of hearing difficulties. Note: HCP has used two versions of the NIH Toolbox WIN test (V1 and V2). In V1 the audio output was through a sound card and equalizer that is no longer supported and in V2 the audio output goes straight through the headphone jack worn by the participant. HCP switched from V1 to V2 WIN on January 23, 2015, so all Q1-S500 Subjects were administered V1 and most S900+ Subjects were administered V2.",NIH Toolbox Words-In-Noise Age 6+: Computed Score
non-tb_compl,book_keeping,bin,Full non-NIH Toolbox behavioral battery was completed (True or False),Full Non-Toolbox Battery Completed
odor_ageadj,physio,reg,"This task assesses a person’s ability to identify various odors. Using 9 scratch-and-sniff cards, participants are asked to identify which of four pictures matches the odor they have just smelled. Raw scores are calculated by simply summing the total number of correct items (0 to 9). Higher scores indicate better olfactory ability/functioning. Age-adjusted Scale Score: Participant raw score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band.",NIH Toolbox Odor Identification Age 3+ Age-Adjusted Scale Score
odor_unadj,physio,reg,"This task assesses a person’s ability to identify various odors. Using 9 scratch-and-sniff cards, participants are asked to identify which of four pictures matches the odor they have just smelled. Raw scores are calculated by simply summing the total number of correct items (0 to 9). Higher scores indicate better olfactory ability/functioning. Unadjusted Scale Score: Participant raw score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. ",NIH Toolbox Odor Identification Age 3+ Unadjusted Scale Score
painintens_rawscore,physio,ord,"This measure consists of a single item measuring immediate (i.e., acute) pain in adults. It asks a participant to rate level of pain experienced over the last seven days on a 0-10 scale, with 0 representing no pain, and 10 representing the worst imaginable pain. No derived scores are available. One could reasonably expect a large proportion of the normal population to obtain scores ofzero on this measure. Regardless, it is an easily quantifiable piece of information on one’s subjective pain experience. ",NIH Toolbox Pain Intensity Survey Age 18+: Raw score
paininterf_tscore,physio,reg,"The pain interference survey measures, in CAT format, the self-reported consequences of pain on relevant aspects of one’s life. This includes the extent to which pain hinders engagement with social, cognitive, emotional, physical and recreational activities. Higher theta (mean = 50, SD = 10) and T-Scores represent greater participant report of pain interference in daily life. ",NIH Toolbox Pain Interference Survey Age 18+: T-score
